"","X","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp","significant","expression","human_gene"
"78",426,"Cd9",6.0676408190952e-17,-1.637933093582,0.21,0.387,9.18640820011013e-13,"Untreated","significant","negative","CD9"
"79",428,"Dusp16",6.46434541789623e-17,-1.63695804798465,0.138,0.316,9.78701896269489e-13,"Untreated","significant","negative","DUSP16"
"80",303,"Pi16",2.00750750399223e-22,1.61376927007122,0.261,0.11,3.03936636104423e-18,"Untreated","significant","positive","PI16"
"81",142,"Tpcn1",1.68156024748847e-35,1.60918235248807,0.327,0.121,2.54588221469754e-31,"Untreated","significant","positive","TPCN1"
"82",1336,"Nr1h3",1.5359085564995e-91,1.60144467789275,0.469,0.199,2.32536555454024e-87,"NP+","significant","positive","NR1H3"
"83",15,"Tgm2",3.02464266196047e-100,-1.59779337683945,0.442,0.87,4.57930899020815e-96,"Untreated","significant","negative","TGM2"
"84",241,"Arhgef18",2.07995221058278e-26,1.58483926943773,0.304,0.129,3.14904764682234e-22,"Untreated","significant","positive","ARHGEF18"
"85",1412,"Atp11a",8.65149631742226e-48,-1.56607386119876,0.138,0.303,1.30983654245773e-43,"NP+","significant","negative","ATP11A"
"86",287,"Hk3",6.44721204437907e-23,-1.56527559178468,0.146,0.373,9.76107903518991e-19,"Untreated","significant","negative","HK3"
"87",71,"F13a1",7.95720582615091e-51,1.56226084262428,0.363,0.111,1.20472096207925e-46,"Untreated","significant","positive","F13A1"
"88",1529,"Thbd",1.65232744604155e-22,-1.55810303580488,0.563,0.607,2.50162375330691e-18,"NP+","significant","negative","THBD"
"89",55,"Ccrl2",6.69179167580199e-58,-1.5554107126045,0.41,0.743,1.01313725971642e-53,"Untreated","significant","negative","CCRL2"
"90",184,"Rbpms",3.54612487026807e-31,-1.55448140733699,0.187,0.467,5.36883305358585e-27,"Untreated","significant","negative","RBPMS"
"91",143,"Wdfy4",1.71192049194803e-35,1.54734488746148,0.516,0.269,2.59184762480932e-31,"Untreated","significant","positive","WDFY4"
"92",54,"Id2",5.91685844082065e-58,-1.5468394505314,0.463,0.763,8.95812367940247e-54,"Untreated","significant","negative","ID2"
