"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp","significant","expression","human_gene"
"1309","Rbm38",2.37696543548606e-07,-0.597203886477282,0.313,0.578,0.00380980019999706,"NP+","significant","negative","RBM38"
"1310","Dus1l",1.10307038673796e-12,0.597129050923577,0.304,0.1,1.7680012158636e-08,"NP-","significant","positive","DUS1L"
"1311","Rbl2",2.66130680731638e-18,0.596957638033803,0.839,0.439,4.26554255076669e-14,"NP-","significant","positive","RBL2"
"1312","H2-Q6",8.30031588504027e-08,-0.596825468401543,0.467,0.785,0.00133037463005425,"Untreated","significant","negative","HLA-G"
"1313","Atxn2l",1.0500336278147e-09,-0.596792010592009,0.44,0.765,1.6829938986614e-05,"NP+","significant","negative","ATXN2L"
"1314","Pan3",7.31617942060776e-08,-0.596643316279577,0.229,0.441,0.00117263723753501,"NP+","significant","negative","PAN3"
"1315","Capns1",5.98666723587938e-07,-0.596442113275169,0.307,0.545,0.00959543024566748,"NP+","significant","negative","CAPNS1"
"1316","Gbp7",2.70635427318518e-16,-0.59642254038515,0.196,0.518,4.33774462906121e-12,"Untreated","significant","negative","GBP7"
"1317","Herc2",5.2224899758773e-22,0.59626245212644,0.509,0.174,8.37060693333614e-18,"NP-","significant","positive","HERC2"
"1318","Ube2h",3.07888674040668e-08,-0.595958044236702,0.398,0.65,0.000493483966752383,"NP+","significant","negative","UBE2H"
"1319","Hcfc1",3.46563993927985e-11,-0.595872631743205,0.163,0.414,5.55472769467774e-07,"Untreated","significant","negative","HCFC1"
"1320","Snx5",8.95304393916228e-13,-0.595674699219894,0.127,0.386,1.43499388256893e-08,"Untreated","significant","negative","SNX5"
"1321","Dhx15",5.77077111058467e-22,0.595139993144107,0.74,0.337,9.2493919360451e-18,"NP-","significant","positive","DHX15"
"1322","Slc25a24",3.51001447849849e-10,-0.595017837863517,0.138,0.361,5.62585120613737e-06,"Untreated","significant","negative","SLC25A24"
"1323","Ints11",3.76409837137605e-09,-0.594946807648471,0.112,0.315,6.03309686964154e-05,"Untreated","significant","negative","INTS11"
"1324","Synj1",3.71378963215937e-07,-0.5948366353844,0.358,0.186,0.00595246202242503,"NP-","significant","negative","SYNJ1"
"1325","Rngtt",2.55305046921865e-10,0.594748736594017,0.256,0.093,4.09202929206365e-06,"NP-","significant","positive","RNGTT"
"1326","Nck2",4.00728759356145e-16,0.594574951715775,0.414,0.143,6.42288055496029e-12,"NP-","significant","positive","NCK2"
"1327","Med1",1.58028366837719e-19,0.594378306604649,0.498,0.192,2.53287866367495e-15,"NP-","significant","positive","MED1"
"1328","Abl2",7.44934178418117e-14,0.594015816945981,0.305,0.106,1.19398050116856e-09,"NP-","significant","positive","ABL2"
"1329","mt-Co3",1.45532518989712e-10,-0.593671354779009,0.42,0.724,2.3325952143671e-06,"Untreated","significant","negative","COX3"
"1330","Phf6",6.55312432653435e-11,-0.592906526361338,0.116,0.352,1.05033476705692e-06,"Untreated","significant","negative","PHF6"
"1331","Atrx",4.03956352680182e-24,0.592833232062285,0.689,0.274,6.47461242075796e-20,"NP-","significant","positive","ATRX"
"1332","Krit1",4.16792965578824e-11,0.592095805924704,0.282,0.102,6.6803576522974e-07,"NP-","significant","positive","KRIT1"
"1333","Gramd4",1.60601289148703e-20,0.592008437369746,0.481,0.165,2.57411746247542e-16,"NP-","significant","positive","GRAMD4"
"1334","Atf4",4.70710702301193e-08,-0.591421428685248,0.277,0.534,0.000754455113648352,"NP+","significant","negative","ATF4"
"1335","Alg10b",1.89654862184174e-08,-0.591404506345037,0.094,0.274,0.000303978813108795,"Untreated","significant","negative","ALG10B"
"1336","Rnpepl1",6.59810775207192e-08,-0.591246798899533,0.253,0.495,0.00105754471050209,"NP+","significant","negative","RNPEPL1"
"1337","Grpel1",9.49756112540158e-18,0.590960081303768,0.458,0.167,1.52226909717936e-13,"NP-","significant","positive","GRPEL1"
