"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comp"
"94","Sh2b2",4.85469100486846e-44,1.85800266989996,0.359,0.127,7.35000218137085e-40,"Untreated"
"95","Tmbim6",6.54599070861875e-44,-0.819530921952738,0.55,0.858,9.91062993284879e-40,"Untreated"
"96","Psmb10",8.11396675625524e-44,-0.862448503955749,0.58,0.838,1.22845456689704e-39,"Untreated"
"97","Hnrnpa2b1",1.9008292095502e-43,-0.877297166707236,0.482,0.791,2.877855423259e-39,"Untreated"
"98","Scand1",3.05361588921862e-43,1.08783737101666,0.737,0.555,4.62317445627699e-39,"Untreated"
"99","Lsr",3.18947595052886e-43,1.97080453759368,0.287,0.085,4.8288665891007e-39,"Untreated"
"100","Srsf5",3.46141500562641e-43,0.817190345353901,0.864,0.767,5.24058231851838e-39,"Untreated"
"101","App",6.26181734837686e-43,-0.6822136606655,0.815,0.977,9.48039146544257e-39,"Untreated"
"102","Nr4a1",1.0234144635088e-42,0.694586150472464,0.985,0.886,1.54944949775232e-38,"Untreated"
"103","Ptafr",1.2643063645527e-42,-1.84882636491203,0.242,0.554,1.91415983593279e-38,"Untreated"
"104","Ace",2.76147734182123e-42,-1.24476528047511,0.586,0.769,4.18087669551733e-38,"Untreated"
"105","Ifi204",3.38000614957917e-42,-1.32620007569627,0.397,0.68,5.11732931046287e-38,"Untreated"
"106","Tap1",7.84381120128977e-42,-0.775826140743068,0.686,0.894,1.18755301587527e-37,"Untreated"
"107","Lair1",8.57661520689299e-42,-1.39325430625969,0.352,0.646,1.2984995423236e-37,"Untreated"
"108","Csf1r",1.41654635903113e-41,-0.602124434897662,0.887,0.898,2.14465118757313e-37,"Untreated"
"109","Zbtb7b",1.59088610417266e-41,1.23697934042932,0.645,0.392,2.40860156171741e-37,"Untreated"
"110","Cyth3",3.00094842234524e-41,-1.41972359863778,0.291,0.612,4.54343591143069e-37,"Untreated"
"111","Mpeg1",4.3973206227368e-41,-0.593958683427975,0.953,0.904,6.65754342282351e-37,"Untreated"
"112","Irf2bpl",4.89406696381418e-41,1.78936405779538,0.308,0.099,7.40961738321466e-37,"Untreated"
"113","Anxa2",5.2734137290595e-41,0.994783400528117,0.786,0.574,7.98394838579608e-37,"Untreated"
"114","Tmem176a",6.1460248249361e-41,0.963163390379923,0.739,0.436,9.30508158495325e-37,"Untreated"
"115","Laptm4a",2.43469515046679e-40,-1.25691094283839,0.282,0.603,3.68612845780672e-36,"Untreated"
"116","Myadm",4.53147512583935e-40,1.19340171102993,0.635,0.376,6.86065334052077e-36,"Untreated"
"117","Arpc4",4.53452047671082e-40,-1.14828235388492,0.374,0.664,6.86526400174019e-36,"Untreated"
"118","Olfm1",4.53764522240572e-40,1.49134043007916,0.482,0.223,6.86999486672227e-36,"Untreated"
"119","Itm2b",9.60869126108884e-40,-0.621395908400979,0.96,0.997,1.45475585692885e-35,"Untreated"
"120","Fth1",1.44338310778804e-39,-0.976937381072923,0.921,0.943,2.1852820251911e-35,"Untreated"
"121","S100a4",2.8152615224337e-39,0.92032130070317,0.86,0.675,4.26230594496463e-35,"Untreated"
"122","H2-D1",6.74094221746642e-39,-0.702713328020012,0.754,0.944,1.02057865172442e-34,"Untreated"
"123","Ms4a6b",8.04162335865398e-39,-1.05968194357742,0.514,0.741,1.21750177650021e-34,"Untreated"
"124","Zfp516",1.68712398951263e-38,1.26716107046122,0.527,0.263,2.55430572012212e-34,"Untreated"
"125","Itgal",2.37431534049376e-38,-0.77628273692317,0.881,0.868,3.59471342550756e-34,"Untreated"
